"SubscriptionId","SubscriptionName","ResourceGroup","ServerName","ResourceType","ResourceName","PoolName","DatabaseCount","ServiceTier","SkuName","Capacity","ComputeModel","DtuOrVCore","AvgUtilPercent","AvgOfDailyMaxUtilPercent","CostAmount","Currency","CostPeriod","RecommendedCapacity","RightSizingAction","EstimatedNewCost","PotentialSavings","TierChangeOpportunity","TierChangeSavings","ResourceId"
"9076c224-d371-46f5-8ead-1a5fc17b6a5d","AC-CDNC-GenericDC-PR-001","rg-CDN-PR-001","arlacasqlsvr01","Database","arlacasqldb02","","1","Basic","Basic","5",,"DTU",,,"30,32","DKK","jan. 2026","5","NoMetrics","30,32","0","","0","/subscriptions/9076c224-d371-46f5-8ead-1a5fc17b6a5d/resourceGroups/rg-CDN-PR-001/providers/Microsoft.Sql/servers/arlacasqlsvr01/databases/arlacasqldb02"
"9076c224-d371-46f5-8ead-1a5fc17b6a5d","AC-CDNC-GenericDC-PR-001","rg-CDN-PR-001","arlacasqlsvr01","Database","arlacasqldb01","","1","Basic","Basic","5",,"DTU",,,"30,32","DKK","jan. 2026","5","NoMetrics","30,32","0","","0","/subscriptions/9076c224-d371-46f5-8ead-1a5fc17b6a5d/resourceGroups/rg-CDN-PR-001/providers/Microsoft.Sql/servers/arlacasqlsvr01/databases/arlacasqldb01"
"649a0e9f-c6fa-4e95-acc0-36f781ce40bd","AC-UAEN-GenericDC-PR-001","az-rg-ts-mena-sfa","az-sql-ts-sfa","Database","az-db-ts-mena-sfa","","1","Standard","Standard","20",,"DTU",,,"218,69","DKK","jan. 2026","20","NoMetrics","218,69","0","","0","/subscriptions/649a0e9f-c6fa-4e95-acc0-36f781ce40bd/resourceGroups/az-rg-ts-mena-sfa/providers/Microsoft.Sql/servers/az-sql-ts-sfa/databases/az-db-ts-mena-sfa"
"55e6226f-9665-4378-9895-81a85299111c","AC-WEU-AFIProductionIT-DE-001","rg-eos-db-de-weu-001","eos-sql-de","ElasticPool","eos-sqlpool-de","eos-sqlpool-de","3","GeneralPurpose","GP_Gen5","2",,"vCore",,,"673,64","DKK","jan. 2026","2","NoMetrics","673,64","0","","0","/subscriptions/55e6226f-9665-4378-9895-81a85299111c/resourceGroups/rg-eos-db-de-weu-001/providers/Microsoft.Sql/servers/eos-sql-de/elasticPools/eos-sqlpool-de"
"55e6226f-9665-4378-9895-81a85299111c","AC-WEU-AFIProductionIT-DE-001","rg-weu-afiproductionit-datapool-de-001","sql-weu-afiproductionit-de-001","ElasticPool","sqlep-weu-afiproductionit-de-001","sqlep-weu-afiproductionit-de-001","8","GeneralPurpose","GP_Gen5","2",,"vCore",,,"853,67","DKK","jan. 2026","2","NoMetrics","853,67","0","","0","/subscriptions/55e6226f-9665-4378-9895-81a85299111c/resourceGroups/rg-weu-afiproductionit-datapool-de-001/providers/Microsoft.Sql/servers/sql-weu-afiproductionit-de-001/elasticPools/sqlep-weu-afiproductionit-de-001"
"aa74e25e-abcb-4120-b2eb-c9072427435e","AC-WEU-AFIProductionIT-PR-001","rg-weu-afiproductionit-datapool-pr-001","sql-weu-afiproductionit-pr-001","ElasticPool","sqlep-weu-afiproductionit-pr-001","sqlep-weu-afiproductionit-pr-001","1","GeneralPurpose","GP_Gen5","2",,"vCore",,,"828,24","DKK","jan. 2026","2","NoMetrics","828,24","0","","0","/subscriptions/aa74e25e-abcb-4120-b2eb-c9072427435e/resourceGroups/rg-weu-afiproductionit-datapool-pr-001/providers/Microsoft.Sql/servers/sql-weu-afiproductionit-pr-001/elasticPools/sqlep-weu-afiproductionit-pr-001"
"24a99f58-19d4-4bf7-8804-2a4560d2298c","AC-WEU-AFIProductionIT-TS-001","rg-weu-afiproductionit-datapool-ts-001","sql-weu-afiproductionit-ts-001","ElasticPool","sqlep-weu-afiproductionit-ts-001","sqlep-weu-afiproductionit-ts-001","5","GeneralPurpose","GP_Gen5","2",,"vCore",,,"833,70","DKK","jan. 2026","2","NoMetrics","833,70","0","","0","/subscriptions/24a99f58-19d4-4bf7-8804-2a4560d2298c/resourceGroups/rg-weu-afiproductionit-datapool-ts-001/providers/Microsoft.Sql/servers/sql-weu-afiproductionit-ts-001/elasticPools/sqlep-weu-afiproductionit-ts-001"
"0c481e8e-7017-4072-a5c0-1fdbed078087","AC-WEU-AgriDataApplications-DE-001","rg-ada-fcp-report-automation-de-01","sql-ada-fcpra-de-01","Database","sqldb-ada-fcpra-de-01","","1","Standard","Standard","50",,"DTU",,,"3309,32","DKK","jan. 2026","50","NoMetrics","3309,32","0","","0","/subscriptions/0c481e8e-7017-4072-a5c0-1fdbed078087/resourceGroups/rg-ada-fcp-report-automation-de-01/providers/Microsoft.Sql/servers/sql-ada-fcpra-de-01/databases/sqldb-ada-fcpra-de-01"
"d50861d7-229d-4aa5-a5da-0e81ebefac9a","AC-WEU-AgriDataApplications-PR-001","rg-ada-fcp-report-automation-pr-01","sql-ada-fcpra-pr-01","Database","sqldb-ada-fcpra-pr-01","","1","Standard","Standard","400",,"DTU",,,"3313,78","DKK","jan. 2026","400","NoMetrics","3313,78","0","","0","/subscriptions/d50861d7-229d-4aa5-a5da-0e81ebefac9a/resourceGroups/rg-ada-fcp-report-automation-pr-01/providers/Microsoft.Sql/servers/sql-ada-fcpra-pr-01/databases/sqldb-ada-fcpra-pr-01"
"cf1a6aa8-c33e-4e1e-8129-d5cf8db8e8a6","AC-WEU-AgriDataApplications-QA-001","rg-ada-fcp-report-automation-qa-01","sql-ada-fcpra-qa-01","Database","sqldb-ada-fcpra-qa-01","","1","Standard","Standard","10",,"DTU",,,"82,84","DKK","jan. 2026","10","NoMetrics","82,84","0","","0","/subscriptions/cf1a6aa8-c33e-4e1e-8129-d5cf8db8e8a6/resourceGroups/rg-ada-fcp-report-automation-qa-01/providers/Microsoft.Sql/servers/sql-ada-fcpra-qa-01/databases/sqldb-ada-fcpra-qa-01"
